node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
194,8.480627,3.016137,14.000000,3.456000,3.840000,False,False
195,8.524297,3.015470,14.000000,3.456000,3.840000,False,False
196,8.567968,3.012506,14.000000,3.456000,3.840000,False,False
197,8.611638,3.009525,14.000000,3.456000,3.840000,False,False
198,8.655308,3.006528,14.000000,3.456000,3.840000,False,False
199,8.698979,3.003516,14.000000,3.456000,3.840000,False,False
200,8.742649,3.000487,14.000000,3.456000,3.840000,False,False
201,8.786320,2.997441,14.000000,3.456000,3.840000,False,False
202,8.829990,2.994379,14.000000,3.456000,3.840000,False,False
203,8.873661,2.991300,14.000000,3.456000,3.840000,False,False
204,8.917331,2.988204,14.000000,3.456000,3.840000,False,False
205,8.961001,2.985091,14.000000,3.456000,3.840000,False,False
206,9.004672,2.981961,14.000000,3.456000,3.840000,False,False
207,9.048342,2.978813,14.000000,3.456000,3.840000,False,False
208,9.092013,2.975648,14.000000,3.456000,3.840000,False,False
209,9.135683,2.972465,14.000000,3.456000,3.840000,False,False
210,9.179354,2.969264,14.000000,3.456000,3.840000,False,False
211,9.223024,2.966044,14.000000,3.456000,3.840000,False,False
212,9.266694,2.962807,14.000000,3.456000,3.840000,False,False
213,9.310365,2.959550,14.000000,3.456000,3.840000,False,False
214,9.354035,2.956275,14.000000,3.456000,3.840000,False,False
215,9.397706,2.952981,14.000000,3.456000,3.840000,False,False
216,9.441376,2.949668,14.000000,3.456000,3.840000,False,False
217,9.485047,2.946335,14.000000,3.456000,3.840000,False,False
218,9.528717,2.942983,14.000000,3.456000,3.840000,False,False
219,9.572387,2.939611,14.000000,3.456000,3.840000,False,False
220,9.616058,2.936219,14.000000,3.456000,3.840000,False,False
221,9.659728,2.932806,14.000000,3.456000,3.840000,False,False
222,9.703399,2.929373,14.000000,3.456000,3.840000,False,False
223,9.747069,2.925920,14.000000,3.456000,3.840000,False,False
224,9.790740,2.922445,14.000000,3.456000,3.840000,False,False
225,9.834410,2.918950,14.000000,3.456000,3.840000,False,False
226,9.878081,2.915433,14.000000,3.456000,3.840000,False,False
227,9.921751,2.911894,14.000000,3.456000,3.840000,False,False
228,9.965421,2.908333,14.000000,3.456000,3.840000,False,False
229,10.009092,2.904751,14.000000,3.456000,3.840000,False,False
