time_h,W_71_m3,W_89_m3,W_150_m3,W_194_m3,W_287_m3,W_349_m3,W_383_m3
4.200000,190425.409,157465.805,31574.093,25673.365,8863.676,0.000,0.000
4.216667,191376.994,158302.328,31798.939,25910.658,9151.679,0.000,0.000
4.233333,192328.594,159138.896,32023.918,26148.184,9442.058,0.000,0.000
4.250000,193280.211,159975.508,32249.029,26385.941,9734.764,0.000,0.000
4.266667,194231.845,160812.165,32474.270,26623.924,10029.750,0.000,0.000
4.283333,195183.494,161648.867,32699.639,26862.129,10326.971,0.000,0.000
4.300000,196135.160,162485.612,32925.134,27100.554,10626.383,0.000,0.000
4.316667,197086.841,163322.400,33150.755,27339.195,10927.942,0.000,0.000
4.333333,198038.538,164159.232,33376.499,27578.048,11231.608,0.000,0.000
4.350000,198990.251,164996.107,33602.366,27817.110,11537.341,0.000,0.000
4.366667,199941.979,165833.025,33828.352,28056.378,11845.102,0.000,0.000
4.383333,200893.723,166669.985,34054.458,28295.849,12154.853,0.000,0.000
4.400000,201845.483,167506.987,34280.681,28535.519,12466.558,0.000,0.000
4.416667,202797.258,168344.031,34507.019,28775.386,12780.182,0.000,0.000
4.433333,203749.048,169181.116,34733.472,29015.446,13095.690,0.000,0.000
4.450000,204700.853,170018.243,34960.038,29255.697,13413.049,3.301,0.000
4.466667,205652.673,170855.410,35186.716,29496.136,13732.227,22.132,0.000
4.483333,206604.508,171692.618,35413.503,29736.760,14053.192,50.677,0.000
4.500000,207556.358,172529.867,35640.399,29977.565,14375.913,86.536,0.000
4.516667,208508.223,173367.155,35867.402,30218.550,14700.361,128.434,0.000
4.533333,209460.102,174204.482,36094.511,30459.712,15026.507,175.548,0.000
4.550000,210411.996,175041.849,36321.724,30701.049,15354.322,227.293,0.000
4.566667,211363.904,175879.255,36549.040,30942.556,15683.779,283.221,0.000
4.583333,212315.827,176716.699,36776.459,31184.233,16014.852,342.980,0.000
4.600000,213267.764,177554.182,37003.977,31426.077,16347.513,406.278,0.000
4.616667,214219.715,178391.702,37231.595,31668.085,16681.739,472.873,0.000
4.633333,215171.679,179229.261,37459.311,31910.255,17017.503,542.556,0.000
