time_h,head_inflow_m3s,Qdiv_71_m3s,Qdiv_89_m3s,Qdiv_150_m3s,Qdiv_194_m3s,Qdiv_287_m3s,Qdiv_349_m3s,Qdiv_383_m3s,supplied_71_m3,supplied_89_m3,supplied_150_m3,supplied_194_m3,supplied_287_m3,supplied_349_m3,supplied_383_m3
1.900000,80.000000,15.679278,13.564047,2.755539,0.000000,0.000000,0.000000,0.000000,59455.196,42844.483,2997.982,0.000,0.000,0.000,0.000
1.916667,80.000000,15.686014,13.576670,2.784603,0.000000,0.000000,0.000000,0.000000,60396.160,43658.714,3164.208,0.000,0.000,0.000,0.000
1.933333,80.000000,15.692435,13.588728,2.812271,0.000000,0.000000,0.000000,0.000000,61337.518,44473.684,3332.135,0.000,0.000,0.000,0.000
1.950000,80.000000,15.698558,13.600249,2.838643,0.000000,0.000000,0.000000,0.000000,62279.252,45289.362,3501.682,0.000,0.000,0.000,0.000
1.966667,80.000000,15.704397,13.611264,2.863809,0.000000,0.000000,0.000000,0.000000,63221.345,46105.715,3672.774,0.000,0.000,0.000,0.000
1.983333,80.000000,15.709969,13.621798,2.887850,0.000000,0.000000,0.000000,0.000000,64163.780,46922.715,3845.341,0.000,0.000,0.000,0.000
2.000000,80.000000,15.715287,13.631877,2.910840,0.392371,0.000000,0.000000,0.000000,65106.542,47740.332,4019.318,5.954,0.000,0.000,0.000
2.016667,80.000000,15.720363,13.641525,2.932847,0.761787,0.000000,0.000000,0.000000,66049.615,48558.541,4194.644,41.866,0.000,0.000,0.000
2.033333,80.000000,15.725212,13.650764,2.953933,1.003165,0.000000,0.000000,0.000000,66992.986,49377.317,4371.263,95.299,0.000,0.000,0.000
2.050000,80.000000,15.729843,13.659616,2.974157,1.190396,0.000000,0.000000,0.000000,67936.641,50196.634,4549.120,161.398,0.000,0.000,0.000
2.066667,80.000000,15.734270,13.668100,2.993571,1.345444,0.000000,0.000000,0.000000,68880.567,51016.472,4728.165,237.680,0.000,0.000,0.000
2.083333,80.000000,15.738501,13.676236,3.012227,1.478579,0.000000,0.000000,0.000000,69824.754,51836.808,4908.352,322.560,0.000,0.000,0.000
2.100000,80.000000,15.742547,13.684040,3.030173,1.595576,0.000000,0.000000,0.000000,70769.188,52657.622,5089.637,414.914,0.000,0.000,0.000
2.116667,80.000000,15.746418,13.691529,3.047453,1.700066,0.000000,0.000000,0.000000,71713.860,53478.894,5271.977,513.891,0.000,0.000,0.000
2.133333,80.000000,15.750123,13.698720,3.064111,1.794512,0.000000,0.000000,0.000000,72658.759,54300.606,5455.336,618.820,0.000,0.000,0.000
2.150000,80.000000,15.753669,13.705628,3.080183,1.880682,0.000000,0.000000,0.000000,73603.875,55122.742,5639.675,729.157,0.000,0.000,0.000
2.166667,80.000000,15.757065,13.712265,3.095698,1.959889,0.000000,0.000000,0.000000,74549.199,55945.283,5824.962,844.446,0.000,0.000,0.000
2.183333,80.000000,15.760318,13.718646,3.110676,2.033141,0.000000,0.000000,0.000000,75494.723,56768.215,6011.163,964.301,0.000,0.000,0.000
2.200000,80.000000,15.763436,13.724782,3.125129,2.101236,0.000000,0.000000,0.000000,76440.438,57591.522,6198.247,1088.390,0.000,0.000,0.000
2.216667,80.000000,15.766425,13.730686,3.139074,2.164816,0.000000,0.000000,0.000000,77386.336,58415.190,6386.183,1216.425,0.000,0.000,0.000
2.233333,80.000000,15.769292,13.736370,3.152533,2.224409,0.000000,0.000000,0.000000,78332.409,59239.206,6574.940,1348.150,0.000,0.000,0.000
2.250000,80.000000,15.772042,13.741842,3.165532,2.280453,0.000000,0.000000,0.000000,79278.651,60063.556,6764.491,1483.341,0.000,0.000,0.000
2.266667,80.000000,15.774682,13.747114,3.178097,2.333316,0.000000,0.000000,0.000000,80225.055,60888.228,6954.808,1621.795,0.000,0.000,0.000
2.283333,80.000000,15.777216,13.752194,3.190253,2.383310,0.000000,0.000000,0.000000,81171.614,61713.211,7145.867,1763.333,0.000,0.000,0.000
2.300000,80.000000,15.779650,13.757092,3.202023,2.430706,0.000000,0.000000,0.000000,82118.321,62538.493,7337.643,1907.789,0.000,0.000,0.000
2.316667,80.000000,15.781988,13.761817,3.213426,2.475734,0.000000,0.000000,0.000000,83065.172,63364.063,7530.114,2055.016,0.000,0.000,0.000
2.333333,80.000000,15.784236,13.766375,3.224482,2.518599,0.000000,0.000000,0.000000,84012.160,64189.912,7723.258,2204.878,0.000,0.000,0.000
2.350000,80.000000,15.786398,13.770775,3.235209,2.559476,0.000000,0.000000,0.000000,84959.281,65016.030,7917.056,2357.250,0.000,0.000,0.000
2.366667,80.000000,15.788477,13.775025,3.245625,2.598524,0.000000,0.000000,0.000000,85906.529,65842.406,8111.488,2512.019,0.000,0.000,0.000
2.383333,80.000000,15.790478,13.779131,3.255743,2.635882,0.000000,0.000000,0.000000,86853.899,66669.034,8306.535,2669.078,0.000,0.000,0.000
2.400000,80.000000,15.792404,13.783099,3.265580,2.671673,0.000000,0.000000,0.000000,87801.386,67495.903,8502.181,2828.330,0.000,0.000,0.000
2.416667,80.000000,15.794259,13.786936,3.275149,2.706008,0.000000,0.000000,0.000000,88748.988,68323.007,8698.409,2989.684,0.000,0.000,0.000
2.433333,80.000000,15.796046,13.790648,3.284463,2.738988,0.000000,0.000000,0.000000,89696.698,69150.337,8895.203,3153.057,0.000,0.000,0.000
2.450000,80.000000,15.797768,13.794240,3.293535,2.770703,0.000000,0.000000,0.000000,90644.514,69977.886,9092.549,3318.370,0.000,0.000,0.000
2.466667,80.000000,15.799428,13.797717,3.302375,2.801234,0.000000,0.000000,0.000000,91592.431,70805.647,9290.432,3485.549,0.000,0.000,0.000
2.483333,80.000000,15.801030,13.801085,3.310995,2.830656,0.000000,0.000000,0.000000,92540.445,71633.613,9488.838,3654.526,0.000,0.000,0.000
2.500000,80.000000,15.802576,13.804346,3.319404,2.859036,0.000000,0.000000,0.000000,93488.555,72461.778,9687.756,3825.236,0.000,0.000,0.000
2.516667,80.000000,15.804068,13.807507,3.327613,2.886437,0.000000,0.000000,0.000000,94436.755,73290.136,9887.171,3997.618,0.000,0.000,0.000
2.533333,80.000000,15.805509,13.810571,3.335629,2.912915,0.000000,0.000000,0.000000,95385.043,74118.680,10087.073,4171.617,0.000,0.000,0.000
2.550000,80.000000,15.806901,13.813542,3.343461,2.938523,0.000000,0.000000,0.000000,96333.416,74947.406,10287.451,4347.177,0.000,0.000,0.000
2.566667,80.000000,15.808246,13.816424,3.351118,2.963307,0.000000,0.000000,0.000000,97281.872,75776.307,10488.293,4524.248,0.000,0.000,0.000
