node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
-1000200,0.202000,2.490426,14.000000,3.456000,3.840000,False,False
-1000201,0.203000,2.491106,14.000000,3.456000,3.840000,False,False
-1000202,0.204000,2.491786,14.000000,3.456000,3.840000,False,False
-1000203,0.205000,2.492466,14.000000,3.456000,3.840000,False,False
-1000204,0.206000,2.493147,14.000000,3.456000,3.840000,False,False
-1000205,0.207000,2.493828,14.000000,3.456000,3.840000,False,False
-1000206,0.208000,2.494510,14.000000,3.456000,3.840000,False,False
-1000207,0.209000,2.495191,14.000000,3.456000,3.840000,False,False
-1000208,0.210000,2.495873,14.000000,3.456000,3.840000,False,False
-1000209,0.211000,2.496555,14.000000,3.456000,3.840000,False,False
-1000210,0.212000,2.497238,14.000000,3.456000,3.840000,False,False
-1000211,0.213000,2.497921,14.000000,3.456000,3.840000,False,False
-1000212,0.214000,2.498604,14.000000,3.456000,3.840000,False,False
-1000213,0.215000,2.499287,14.000000,3.456000,3.840000,False,False
-1000214,0.216000,2.499971,14.000000,3.456000,3.840000,False,False
-1000215,0.217000,2.500655,14.000000,3.456000,3.840000,False,False
-1000216,0.218000,2.501339,14.000000,3.456000,3.840000,False,False
5,0.218352,2.501580,14.000000,3.456000,3.840000,False,False
-1000217,0.219000,2.502024,14.000000,3.456000,3.840000,False,False
-1000218,0.220000,2.502708,14.000000,3.456000,3.840000,False,False
-1000219,0.221000,2.503394,14.000000,3.456000,3.840000,False,False
-1000220,0.222000,2.504079,14.000000,3.456000,3.840000,False,False
-1000221,0.223000,2.504765,14.000000,3.456000,3.840000,False,False
-1000222,0.224000,2.505451,14.000000,3.456000,3.840000,False,False
-1000223,0.225000,2.506137,14.000000,3.456000,3.840000,False,False
-1000224,0.226000,2.506824,14.000000,3.456000,3.840000,False,False
-1000225,0.227000,2.507511,14.000000,3.456000,3.840000,False,False
-1000226,0.228000,2.508198,14.000000,3.456000,3.840000,False,False
-1000227,0.229000,2.508885,14.000000,3.456000,3.840000,False,False
-1000228,0.230000,2.509573,14.000000,3.456000,3.840000,False,False
